canonical_score,candidate_role,root_id,root_role,relative_path,full_path,size_bytes,allowed_to_edit,reason
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_001/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_001\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_002/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_002\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_003/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_003\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_004/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_004\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_005/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_005\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
95,probable_canonical_apps_script_mirror,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_DEV/APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750/CAND_006/MVPQAIC_Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_DEV\APPS_SCRIPT_PULL_ISOLATED_P57D_20260620_114750\CAND_006\MVPQAIC_Index.html,5169160,False,Apps Script mirror in DEV area; strongest local candidate for validated WebApp shell.
80,probable_source_index,mvp_qaic_drive_root,mvp qaic root webapp apps script,02_BUILD/LEXIQUE_READER_MVP/08_PUBLICATION/P25A2_P26A_20260618_002812_CHANNEL_REPAIR/channels/APPS_SCRIPT_WRAPPER_SOURCE_ONLY/Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_BUILD\LEXIQUE_READER_MVP\08_PUBLICATION\P25A2_P26A_20260618_002812_CHANNEL_REPAIR\channels\APPS_SCRIPT_WRAPPER_SOURCE_ONLY\Index.html,99,False,Index-like file under source area.
80,probable_source_index,mvp_qaic_drive_root,mvp qaic root webapp apps script,02_BUILD/LEXIQUE_READER_MVP/08_PUBLICATION/P25A_20260618_002252/channels/APPS_SCRIPT_WRAPPER_SOURCE_ONLY/Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_BUILD\LEXIQUE_READER_MVP\08_PUBLICATION\P25A_20260618_002252\channels\APPS_SCRIPT_WRAPPER_SOURCE_ONLY\Index.html,465,False,Index-like file under source area.
80,probable_source_index,mvp_qaic_drive_root,mvp qaic root webapp apps script,02_BUILD/LEXIQUE_READER_MVP/11_APPS_SCRIPT_WEBAPP_WRAPPER/P25A2_P26A_20260618_002812/APPS_SCRIPT_WRAPPER_SOURCE_ONLY/Index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_BUILD\LEXIQUE_READER_MVP\11_APPS_SCRIPT_WEBAPP_WRAPPER\P25A2_P26A_20260618_002812\APPS_SCRIPT_WRAPPER_SOURCE_ONLY\Index.html,99,False,Index-like file under source area.
80,probable_source_index,mvp_qaic_drive_root,mvp qaic root webapp apps script,03_EXPORTS/P27A1R0_SOURCE_RECOVERY_20260618_111620/_source_extract/P24D_EXTRACTED/index.html,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_EXPORTS\P27A1R0_SOURCE_RECOVERY_20260618_111620\_source_extract\P24D_EXTRACTED\index.html,229205,False,Index-like file under source area.
